procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------ ---timestamp---
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   1504 3163968 121008 913476    0    0     0     2    1    6  1  0 99  0  0	2015-07-31 14:45:17 NZST
 0  0   1504 3165124 121008 913476    0    0     0     0 1083 1499  2  0 97  0  0	2015-07-31 14:45:18 NZST
 0  0   1504 3165240 121008 913476    0    0     0     7 1184 1913  2  1 97  0  0	2015-07-31 14:45:19 NZST
 0  0   1504 3165240 121008 913584    0    0     0     0 1394 2283  3  1 96  0  0	2015-07-31 14:45:20 NZST
 0  0   1504 3165248 121008 913584    0    0     0     0 1357 2283  3  1 96  0  0	2015-07-31 14:45:21 NZST
 0  0   1504 3165248 121008 913584    0    0     0     0 1300 2175  4  0 96  0  0	2015-07-31 14:45:22 NZST
 1  0   1504 3165124 121020 913580    0    0     0    60 1333 2258  3  1 96  0  0	2015-07-31 14:45:23 NZST
 0  0   1504 3165248 121020 913584    0    0     0     0  616 1024  1  1 98  0  0	2015-07-31 14:45:24 NZST
 0  0   1504 3165280 121020 913584    0    0     0     4  300  499  0  0 100  0  0	2015-07-31 14:45:25 NZST
 0  0   1504 3165280 121020 913584    0    0     0     0  296  519  0  0 100  0  0	2015-07-31 14:45:26 NZST
 0  0   1504 3165280 121020 913584    0    0     0     0  316  543  0  0 100  0  0	2015-07-31 14:45:27 NZST
 0  0   1504 3165280 121020 913584    0    0     0     0  307  551  0  0 99  0  0	2015-07-31 14:45:28 NZST
 0  0   1504 3165280 121024 913584    0    0     0    12  311  535  0  0 100  0  0	2015-07-31 14:45:29 NZST
 1  0   1504 3165156 121024 913708    0    0     0     0 1091 1755  2  1 97  0  0	2015-07-31 14:45:30 NZST
 0  0   1504 3165156 121024 913708    0    0     0     0  628 1068  1  0 99  0  0	2015-07-31 14:45:31 NZST
 0  0   1504 3165156 121024 913708    0    0     0     0  357  531  0  0 100  0  0	2015-07-31 14:45:32 NZST
 0  0   1504 3165156 121024 913708    0    0     0     3  308  503  0  0 100  0  0	2015-07-31 14:45:33 NZST
 0  0   1504 3165156 121024 913708    0    0     0     0  316  508  0  0 100  0  0	2015-07-31 14:45:34 NZST
 0  0   1504 3165156 121028 913708    0    0     0    19  387  521  0  0 100  0  0	2015-07-31 14:45:35 NZST
 0  0   1504 3165280 121028 913708    0    0     0     0  475  582  0  0 99  0  0	2015-07-31 14:45:36 NZST
 0  0   1504 3165280 121028 913708    0    0     0     0  361  539  0  0 99  0  0	2015-07-31 14:45:37 NZST
 0  0   1504 3165280 121028 913708    0    0     0    10  456  569  0  1 99  0  0	2015-07-31 14:45:38 NZST
 0  0   1504 3165280 121028 913708    0    0     0     0  333  517  0  0 99  0  0	2015-07-31 14:45:39 NZST
 0  0   1504 3165280 121028 913736    0    0     0     0  406  553  0  0 100  0  0	2015-07-31 14:45:40 NZST
 0  0   1504 3165280 121028 913736    0    0     0    24  341  547  0  0 99  0  0	2015-07-31 14:45:41 NZST
 0  0   1504 3165280 121036 913732    0    0     0    12  286  486  0  0 100  0  0	2015-07-31 14:45:42 NZST
 0  0   1504 3165280 121036 913736    0    0     0   259  336  526  0  0 100  0  0	2015-07-31 14:45:43 NZST
 0  0   1504 3165280 121036 913736    0    0     0     0  307  529  0  0 100  0  0	2015-07-31 14:45:44 NZST
 0  0   1504 3165280 121036 913736    0    0     0     6  315  519  0  0 100  0  0	2015-07-31 14:45:45 NZST
 0  0   1504 3165280 121036 913736    0    0     0     0  320  547  0  0 100  0  0	2015-07-31 14:45:46 NZST
 0  0   1504 3165280 121036 913736    0    0     0    12  342  545  0  0 100  0  0	2015-07-31 14:45:47 NZST
 0  0   1504 3165280 121036 913736    0    0     0   798  349  572  0  0 100  0  0	2015-07-31 14:45:48 NZST
 0  0   1504 3165280 121036 913736    0    0     0     0  327  559  0  0 100  0  0	2015-07-31 14:45:49 NZST
 0  0   1504 3165280 121036 913736    0    0     0     0  387  557  0  0 99  0  0	2015-07-31 14:45:50 NZST
 0  0   1504 3165280 121036 913736    0    0     0     0  337  557  0  0 100  0  0	2015-07-31 14:45:51 NZST
 0  0   1504 3165280 121036 913736    0    0     0     0  305  517  0  0 100  0  0	2015-07-31 14:45:52 NZST
 0  0   1504 3165280 121036 913736    0    0     0    76  323  538  0  0 100  0  0	2015-07-31 14:45:53 NZST
 0  0   1504 3165280 121036 913740    0    0     0     6  323  536  0  0 99  0  0	2015-07-31 14:45:54 NZST
 0  0   1504 3165156 121036 913740    0    0     0     0  290  512  0  0 100  0  0	2015-07-31 14:45:55 NZST
 0  0   1504 3165156 121036 913740    0    0     0     0  325  528  0  0 100  0  0	2015-07-31 14:45:56 NZST
 0  0   1504 3165156 121036 913740    0    0     0     0  326  522  0  0 100  0  0	2015-07-31 14:45:57 NZST
 0  0   1504 3165156 121036 913740    0    0     0     0  338  571  0  0 100  0  0	2015-07-31 14:45:58 NZST
 0  0   1504 3165156 121040 913740    0    0     0    16 1118 1892  2  1 97  0  0	2015-07-31 14:45:59 NZST
 0  0   1504 3165032 121040 913764    0    0     0     0 1069 1700  2  1 97  0  0	2015-07-31 14:46:00 NZST
 0  0   1504 3165156 121040 913764    0    0     0     0 1593 2437  3  1 96  0  0	2015-07-31 14:46:01 NZST
 0  0   1504 3165156 121040 913764    0    0     0     0 1623 2449  3  1 96  0  0	2015-07-31 14:46:02 NZST
 0  0   1504 3165156 121040 913764    0    0     0     0  498  847  0  0 100  0  0	2015-07-31 14:46:03 NZST
 0  0   1504 3165156 121040 913764    0    0     0     0  673 1099  1  1 98  0  0	2015-07-31 14:46:04 NZST
 0  0   1504 3165156 121044 913764    0    0     0    15 1107 1828  2  1 97  0  0	2015-07-31 14:46:05 NZST
 0  0   1504 3165032 121044 913912    0    0     0     0 1053 1621  2  1 98  0  0	2015-07-31 14:46:06 NZST
 0  0   1504 3165032 121044 913884    0    0     0     0  306  531  0  0 99  0  0	2015-07-31 14:46:07 NZST
 0  0   1504 3165032 121044 913884    0    0     0     0  317  544  0  0 100  0  0	2015-07-31 14:46:08 NZST
 0  0   1504 3165032 121044 913884    0    0     0     0  293  487  0  0 100  0  0	2015-07-31 14:46:09 NZST
 0  0   1504 3165032 121044 913892    0    0     0     0  357  520  0  0 99  0  0	2015-07-31 14:46:10 NZST
 0  0   1504 3165032 121048 913892    0    0     0    16  334  551  0  0 100  0  0	2015-07-31 14:46:11 NZST
 0  0   1504 3165032 121048 913892    0    0     0     3  315  532  0  0 100  0  0	2015-07-31 14:46:12 NZST
 0  0   1504 3165032 121048 913892    0    0     0   154  314  507  0  0 99  0  0	2015-07-31 14:46:13 NZST
 0  0   1504 3165032 121048 913892    0    0     0     0  891 1329  2  0 98  0  0	2015-07-31 14:46:14 NZST
