procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------ ---timestamp---
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   8936 2207808 152360 884868    0    0     3     3    2    4  0  0 100  0  0	2015-07-31 14:45:17 NZST
 0  0   8936 2209468 152360 884728    0    0     0     0  187  299  0  0 100  0  0	2015-07-31 14:45:18 NZST
 0  0   8936 2209468 152360 884728    0    0     0     0  126  237  0  0 100  0  0	2015-07-31 14:45:19 NZST
 0  0   8936 2209468 152360 884728    0    0     0     0  117  232  0  1 100  0  0	2015-07-31 14:45:20 NZST
 0  0   8936 2209468 152360 884728    0    0     0     0  132  243  0  0 100  0  0	2015-07-31 14:45:21 NZST
 0  0   8936 2209468 152360 884728    0    0     0     0  114  251  0  0 100  0  0	2015-07-31 14:45:22 NZST
 0  0   8936 2209344 152360 884728    0    0     0    72  141  269  0  0 100  0  0	2015-07-31 14:45:23 NZST
 0  0   8936 2209344 152360 884728    0    0     0     4  150  291  0  1 100  0  0	2015-07-31 14:45:24 NZST
 0  0   8936 2209376 152360 884728    0    0     0     8  123  260  0  0 100  0  0	2015-07-31 14:45:25 NZST
 0  0   8936 2209376 152360 884728    0    0     0     0  115  251  0  0 100  0  0	2015-07-31 14:45:26 NZST
 0  0   8936 2209376 152360 884728    0    0     0     0  116  248  0  0 100  0  0	2015-07-31 14:45:27 NZST
 0  0   8936 2209376 152360 884728    0    0     0    32  156  276  0  0 100  0  0	2015-07-31 14:45:28 NZST
 0  0   8936 2209376 152360 884728    0    0     0     0  127  256  0  1 100  0  0	2015-07-31 14:45:29 NZST
 0  0   8936 2209384 152360 884728    0    0     0    80  127  236  0  0 100  0  0	2015-07-31 14:45:30 NZST
 0  0   8936 2209384 152360 884728    0    0     0     0  102  214  0  0 100  0  0	2015-07-31 14:45:31 NZST
 0  0   8936 2209384 152360 884728    0    0     0     0  125  247  1  0 100  0  0	2015-07-31 14:45:32 NZST
 0  0   8936 2209384 152360 884728    0    0     0     0  186  255  0  1 100  0  0	2015-07-31 14:45:33 NZST
 0  0   8936 2209384 152360 884728    0    0     0    12  160  261  0  0 100  0  0	2015-07-31 14:45:34 NZST
 0  0   8936 2209260 152360 884728    0    0     0     4  186  264  0  0 100  0  0	2015-07-31 14:45:35 NZST
 0  0   8936 2209260 152360 884728    0    0     0     0  150  246  0  0 100  0  0	2015-07-31 14:45:36 NZST
 0  0   8936 2209260 152360 884728    0    0     0     0  260  281  1  1 99  0  0	2015-07-31 14:45:37 NZST
 0  0   8936 2209260 152360 884728    0    0     0     0  222  263  0  1 99  0  0	2015-07-31 14:45:38 NZST
 0  0   8936 2209260 152360 884728    0    0     0     0  197  254  1  1 99  0  0	2015-07-31 14:45:39 NZST
 0  0   8936 2209260 152360 884728    0    0     0    36  142  269  0  0 100  0  0	2015-07-31 14:45:40 NZST
 1  0   8936 2209260 152360 884728    0    0     0     0  107  219  0  0 100  0  0	2015-07-31 14:45:41 NZST
 0  0   8936 2209260 152360 884728    0    0     0     0  122  236  0  0 100  0  0	2015-07-31 14:45:42 NZST
 0  0   8936 2209260 152360 884728    0    0     0     0  122  237  0  0 100  0  0	2015-07-31 14:45:43 NZST
 0  0   8936 2209260 152360 884728    0    0     0     0  129  264  0  0 100  0  0	2015-07-31 14:45:44 NZST
 0  0   8936 2209260 152360 884728    0    0     0     0  116  244  0  0 100  0  0	2015-07-31 14:45:45 NZST
 1  0   8936 2209260 152360 884728    0    0     0    16  126  250  0  0 100  0  0	2015-07-31 14:45:46 NZST
 0  0   8936 2209260 152360 884728    0    0     0     0  138  240  0  0 100  0  0	2015-07-31 14:45:47 NZST
 0  0   8936 2209260 152360 884728    0    0     0     0  136  245  0  0 100  0  0	2015-07-31 14:45:48 NZST
 0  0   8936 2209260 152360 884728    0    0     0     0  130  244  0  0 100  0  0	2015-07-31 14:45:49 NZST
 0  0   8936 2209136 152360 884728    0    0     0   800  122  247  0  0 100  0  0	2015-07-31 14:45:50 NZST
 0  0   8936 2209136 152360 884728    0    0     0     0  113  228  0  1 100  0  0	2015-07-31 14:45:51 NZST
 0  0   8936 2209136 152360 884728    0    0     0    28  117  226  0  0 100  0  0	2015-07-31 14:45:52 NZST
 0  0   8936 2209260 152360 884728    0    0     0     0  127  245  0  0 100  0  0	2015-07-31 14:45:53 NZST
 0  0   8936 2209260 152360 884732    0    0     0     4  130  257  0  0 100  0  0	2015-07-31 14:45:54 NZST
 0  0   8936 2209260 152360 884732    0    0     0     0  120  244  0  0 100  0  0	2015-07-31 14:45:55 NZST
 0  0   8936 2209260 152360 884732    0    0     0     0  116  245  0  0 100  0  0	2015-07-31 14:45:56 NZST
 0  0   8936 2209260 152360 884732    0    0     0     0  124  236  0  0 100  0  0	2015-07-31 14:45:57 NZST
 0  0   8936 2209260 152360 884732    0    0     0    24  136  253  0  1 100  0  0	2015-07-31 14:45:58 NZST
 0  0   8936 2209260 152360 884732    0    0     0     0  126  237  0  0 100  0  0	2015-07-31 14:45:59 NZST
 0  0   8936 2209260 152360 884732    0    0     0     0  119  245  0  0 100  0  0	2015-07-31 14:46:00 NZST
 0  0   8936 2209260 152360 884732    0    0     0     0  120  237  0  0 100  0  0	2015-07-31 14:46:01 NZST
 0  0   8936 2209260 152360 884732    0    0     0    12  141  254  0  1 100  0  0	2015-07-31 14:46:02 NZST
 0  0   8936 2209260 152360 884732    0    0     0     0  118  225  0  0 100  0  0	2015-07-31 14:46:03 NZST
