procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------ ---timestamp---
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 199540 162912 1265384    0    0     0     3    0    1  0  0 99  0  0	2015-07-31 14:45:17 NZST
 0  0      0 201192 162912 1265388    0    0     0     5 1141 2215  1  0 99  0  0	2015-07-31 14:45:18 NZST
 0  0      0 201192 162912 1265388    0    0     0    48 1153 2196  1  0 99  0  0	2015-07-31 14:45:19 NZST
 0  0      0 201184 162912 1265388    0    0     0     0 1174 2304  1  1 99  0  0	2015-07-31 14:45:20 NZST
 0  0      0 201184 162912 1265388    0    0     0     0 1178 2218  1  0 99  0  0	2015-07-31 14:45:21 NZST
 0  0      0 201060 162912 1265388    0    0     0     0 1140 2166  1  0 99  0  0	2015-07-31 14:45:22 NZST
 0  0      0 201060 162916 1265384    0    0     0    56 1092 2142  1  0 99  0  0	2015-07-31 14:45:23 NZST
 0  0      0 201060 162916 1265388    0    0     0     0 1072 2147  1  0 99  0  0	2015-07-31 14:45:24 NZST
 0  0      0 201084 162916 1265388    0    0     0    48 1059 2110  0  0 100  0  0	2015-07-31 14:45:25 NZST
 0  0      0 201084 162916 1265388    0    0     0     0 1044 2092  0  0 100  0  0	2015-07-31 14:45:26 NZST
 0  0      0 201084 162916 1265388    0    0     0     0 1052 2125  1  0 99  0  0	2015-07-31 14:45:27 NZST
 0  0      0 201084 162916 1265388    0    0     0     0 1041 2094  0  0 100  0  0	2015-07-31 14:45:28 NZST
 0  0      0 201084 162920 1265388    0    0     0    12 1056 2124  0  0 100  0  0	2015-07-31 14:45:29 NZST
 0  0      0 201084 162920 1265388    0    0     0     0 1165 2220  1  1 98  0  0	2015-07-31 14:45:30 NZST
 0  0      0 201084 162920 1265388    0    0     0     0 1065 2100  0  0 100  0  0	2015-07-31 14:45:31 NZST
 0  0      0 201084 162920 1265388    0    0     0     0 1072 2116  1  0 99  0  0	2015-07-31 14:45:32 NZST
 0  0      0 201084 162920 1265388    0    0     0     3 1053 2134  0  0 100  0  0	2015-07-31 14:45:33 NZST
 0  0      0 201084 162920 1265388    0    0     0     0 1044 2097  0  0 100  0  0	2015-07-31 14:45:34 NZST
 0  0      0 201084 162920 1265388    0    0     0    12 1077 2126  1  0 99  0  0	2015-07-31 14:45:35 NZST
 0  0      0 201084 162920 1265388    0    0     0    48 1088 2162  1  1 99  0  0	2015-07-31 14:45:36 NZST
 0  0      0 201084 162920 1265388    0    0     0     0 1063 2108  0  1 99  0  0	2015-07-31 14:45:37 NZST
 0  0      0 201084 162920 1265388    0    0     0     0 1064 2112  1  1 99  0  0	2015-07-31 14:45:38 NZST
 0  0      0 201084 162920 1265388    0    0     0     6 1070 2166  0  1 99  0  0	2015-07-31 14:45:39 NZST
 0  0      0 201084 162920 1265388    0    0     0     0 1055 2112  1  0 99  0  0	2015-07-31 14:45:40 NZST
 0  0      0 201084 162924 1265388    0    0     0    12 1048 2099  0  0 100  0  0	2015-07-31 14:45:41 NZST
 0  0      0 201084 162928 1265384    0    0     0    24 1055 2141  0  0 100  0  0	2015-07-31 14:45:42 NZST
 0  0      0 201084 162928 1265388    0    0     0     0 1038 2087  0  0 100  0  0	2015-07-31 14:45:43 NZST
 0  0      0 201084 162928 1265388    0    0     0     0 1049 2108  0  1 100  0  0	2015-07-31 14:45:44 NZST
 0  0      0 201084 162928 1265388    0    0     0     0 1060 2133  1  0 99  0  0	2015-07-31 14:45:45 NZST
 0  0      0 201084 162928 1265388    0    0     0     0 1046 2087  0  0 100  0  0	2015-07-31 14:45:46 NZST
 0  0      0 201084 162928 1265388    0    0     0    12 1053 2105  0  0 100  0  0	2015-07-31 14:45:47 NZST
 0  0      0 201084 162928 1265388    0    0     0     0 1053 2136  0  0 100  0  0	2015-07-31 14:45:48 NZST
 0  0      0 201084 162928 1265388    0    0     0   800 1049 2106  0  0 100  0  0	2015-07-31 14:45:49 NZST
 0  0      0 201084 162928 1265388    0    0     0     0 1053 2113  1  0 99  0  0	2015-07-31 14:45:50 NZST
 0  0      0 201084 162928 1265388    0    0     0     0 1073 2122  1  1 99  0  0	2015-07-31 14:45:51 NZST
 0  0      0 201084 162928 1265388    0    0     0     0 1047 2096  0  0 100  0  0	2015-07-31 14:45:52 NZST
 0  0      0 201084 162932 1265388    0    0     0    77 1061 2115  0  0 100  0  0	2015-07-31 14:45:53 NZST
 0  0      0 201084 162932 1265392    0    0     0    32 1051 2133  1  0 100  0  0	2015-07-31 14:45:54 NZST
 0  0      0 201084 162932 1265392    0    0     0     0 1047 2095  0  0 100  0  0	2015-07-31 14:45:55 NZST
 0  0      0 201084 162932 1265392    0    0     0     0 1048 2095  0  0 100  0  0	2015-07-31 14:45:56 NZST
 0  0      0 201084 162932 1265392    0    0     0     0 1067 2131  1  1 99  0  0	2015-07-31 14:45:57 NZST
 0  0      0 201084 162932 1265392    0    0     0     0 1040 2091  0  0 100  0  0	2015-07-31 14:45:58 NZST
 0  0      0 201084 162936 1265392    0    0     0    16 1193 2271  1  0 99  0  0	2015-07-31 14:45:59 NZST
 0  0      0 201084 162936 1265392    0    0     0     0 1119 2191  1  0 99  0  0	2015-07-31 14:46:00 NZST
 0  0      0 201084 162936 1265392    0    0     0     0 1109 2130  0  0 100  0  0	2015-07-31 14:46:01 NZST
 0  0      0 201084 162936 1265392    0    0     0     0 1113 2140  1  0 99  0  0	2015-07-31 14:46:02 NZST
